subject_code,subject_name,topic_name,subtopic_name,qtype,question_text,explanation,options,correct
economics,Экономика,Микроэкономика,Спрос и предложение,single,Что обычно происходит с спросом при росте цены товара при прочих равных?,По закону спроса объем спроса снижается.,A) Растет|B) Падает|C) Не меняется|D) Становится отрицательным,B
economics,Экономика,Микроэкономика,Эластичность,single,"Если ценовая эластичность спроса по модулю больше 1, спрос называют...",При |E|>1 спрос эластичный.,A) Неэластичным|B) Абсолютно неэластичным|C) Эластичным|D) Единичным,C
economics,Экономика,Макроэкономика,ВВП,single,Что из перечисленного включается в ВВП по расходам?,ВВП=C+I+G+NX включает инвестиции бизнеса.,A) Покупка акций на бирже|B) Покупка подержанного автомобиля|C) Инвестиции в новое оборудование|D) Трансфертные выплаты,C
economics,Экономика,Макроэкономика,Инфляция,single,Какой индекс чаще всего используют для измерения потребительской инфляции?,Обычно используют индекс потребительских цен.,A) ИПЦ|B) Индекс Доу-Джонса|C) Индекс промышленного производства|D) Индекс Джини,A
economics,Экономика,Микроэкономика,Издержки,single,Предельные издержки — это...,Это прирост общих издержек при выпуске дополнительной единицы.,A) Средние издержки на весь выпуск|B) Дополнительные издержки на одну дополнительную единицу|C) Постоянные издержки фирмы|D) Сумма бухгалтерских и экономических издержек,B
economics,Экономика,Финансы,Бюджет,single,"Дефицит бюджета возникает, когда...",Дефицит = расходы больше доходов.,A) Доходы равны расходам|B) Доходы превышают расходы|C) Расходы превышают доходы|D) Нет налогов,C
economics,Экономика,Финансы,Налоги,single,Какой налог обычно относят к косвенным?,НДС включается в цену товара и косвенно уплачивается потребителем.,A) Налог на прибыль|B) НДФЛ|C) НДС|D) Налог на имущество,C
economics,Экономика,Микроэкономика,Рынки,single,На рынке совершенной конкуренции фирма является...,Фирма принимает цену как данную.,A) Ценополучателем|B) Ценообразователем-монополистом|C) Регулятором рынка|D) Поставщиком общественных благ,A
economics,Экономика,Макроэкономика,Безработица,single,К фрикционной безработице относится...,Фрикционная безработица связана с поиском работы.,A) Потеря работы из-за кризиса в отрасли|B) Поиск новой работы после увольнения|C) Безработица из-за роботизации производства|D) Сезонный спад в сельском хозяйстве,B
economics,Экономика,Микроэкономика,Полезность,single,"Закон убывающей предельной полезности означает, что...",Каждая следующая единица блага приносит меньше дополнительной полезности.,A) Полезность всегда растет линейно|B) Предельная полезность снижается с ростом потребления|C) Общая полезность падает сразу|D) Цена определяет полезность,B
economics,Экономика,Макроэкономика,ДКП,single,Повышение ключевой ставки ЦБ обычно ведет к...,Более дорогой кредит сдерживает спрос и инфляцию.,A) Ускорению инфляции|B) Снижению стоимости кредитов|C) Сдерживанию инфляции|D) Росту бюджетного дефицита автоматически,C
economics,Экономика,Финансы,Деньги,single,Какую функцию денег иллюстрирует указание цен в рублях?,Цены выражаются в деньгах как в единице счета.,A) Средство накопления|B) Мера стоимости|C) Средство обращения|D) Мировые деньги,B
economics,Экономика,Микроэкономика,Производство,single,Что показывает производственная функция?,Связь между затратами факторов и выпуском.,A) Связь между спросом и предложением|B) Зависимость выпуска от факторов производства|C) Только бухгалтерскую прибыль|D) График инфляции,B
economics,Экономика,Макроэкономика,Экономический рост,single,Интенсивный экономический рост достигается в первую очередь за счет...,Интенсивный рост основан на технологиях и производительности.,A) Увеличения числа рабочих часов без технологий|B) Повышения производительности и технологий|C) Ростом цен на ресурсы|D) Сокращения инвестиций,B
economics,Экономика,Финансы,Риски,single,Диверсификация портфеля нужна для...,Распределение вложений снижает специфический риск.,A) Увеличения несистематического риска|B) Снижения специфического риска|C) Полного устранения рыночного риска|D) Гарантии доходности,B
economics,Экономика,Микроэкономика,Типы благ,single,Какое благо является общественным?,Оборона обладает неисключаемостью и неконкурентностью.,A) Хлеб|B) Мобильный телефон|C) Национальная оборона|D) Такси,C
economics,Экономика,Макроэкономика,Платежный баланс,single,Экспорт товаров в платежном балансе отражается как...,"Экспорт создает приток валюты, записывается в кредит.",A) Дебет текущего счета|B) Кредит текущего счета|C) Дебет финансового счета|D) Резервная операция,B
economics,Экономика,Финансы,Проценты,single,"Сложный процент означает, что...",Проценты начисляются и на ранее начисленные проценты.,A) Процент начисляется только на первоначальную сумму|B) Процент начисляется на сумму и накопленные проценты|C) Процент всегда фиксирован и не меняется|D) Процент равен инфляции,B
economics,Экономика,Микроэкономика,Рыночное равновесие,single,"Равновесная цена — это цена, при которой...",В равновесии Qd = Qs.,A) Спрос больше предложения|B) Предложение больше спроса|C) Спрос равен предложению|D) Государство устанавливает потолок цен,C
economics,Экономика,Макроэкономика,Фискальная политика,single,Что является примером стимулирующей фискальной политики?,Стимулирование: рост госрасходов и/или снижение налогов.,A) Снижение госрасходов|B) Повышение налогов|C) Увеличение госрасходов|D) Сокращение денежной массы,C
economics,Экономика,Финансы,Банк,single,Ликвидность актива — это...,"Способность быстро продаться по цене, близкой к рыночной.",A) Его прибыльность за год|B) Способность быстро быть проданным без значительной потери цены|C) Его номинальная стоимость|D) Риск дефолта эмитента,B
economics,Экономика,Микроэкономика,Монополия,single,"Монополия отличается от совершенной конкуренции тем, что...","Монополист влияет на цену, конкурирующая фирма — нет.",A) Не имеет издержек|B) Может влиять на рыночную цену|C) Не получает прибыль|D) Не производит товары,B
economics,Экономика,Макроэкономика,Циклы,single,Фаза рецессии обычно характеризуется...,В рецессии снижается выпуск и занятость.,A) Ростом ВВП и занятости|B) Снижением выпуска и ростом безработицы|C) Нулевой инфляцией всегда|D) Удвоением экспорта,B
economics,Экономика,Финансы,Кредит,single,Кредитная история заемщика нужна банку для...,Она помогает оценить вероятность возврата долга.,A) Определения курса валют|B) Оценки кредитного риска|C) Расчета ВВП|D) Установления НДС,B
economics,Экономика,Микроэкономика,Альтернативные издержки,single,Альтернативные издержки — это...,Стоимость лучшей из отвергнутых альтернатив.,A) Сумма всех явных затрат|B) Только денежные расходы|C) Ценность лучшей невыбранной альтернативы|D) Налоги на прибыль,C
biology,Биология,Клетка,Органоиды,single,Где в клетке происходит синтез АТФ у эукариот?,Основной синтез АТФ идёт в митохондриях.,A) В ядре|B) В митохондриях|C) В комплексе Гольджи|D) В рибосомах,B
biology,Биология,Генетика,ДНК,single,"Какое азотистое основание есть в ДНК, но отсутствует в РНК?","В ДНК есть тимин, в РНК вместо него урацил.",A) Урацил|B) Цитозин|C) Тимин|D) Гуанин,C
biology,Биология,Эволюция,Отбор,single,Естественный отбор действует прежде всего на...,"Отбор действует на фенотип, закрепляя подходящие признаки.",A) Генотип напрямую без фенотипа|B) Фенотип организмов|C) Только мутации в половых клетках|D) Число хромосом,B
biology,Биология,Человек,Кровь,single,Какой компонент крови отвечает за свертывание?,Свертывание обеспечивают тромбоциты.,A) Эритроциты|B) Лейкоциты|C) Тромбоциты|D) Плазма,C
biology,Биология,Ботаника,Фотосинтез,single,Какой газ поглощается растениями при фотосинтезе?,Для фотосинтеза нужен углекислый газ.,A) Кислород|B) Азот|C) Углекислый газ|D) Водород,C
biology,Биология,Клетка,Мембрана,single,Главная функция клеточной мембраны — ...,Мембрана избирательно регулирует транспорт веществ.,A) Синтез белка|B) Избирательная проницаемость|C) Хранение наследственной информации|D) Образование АТФ,B
biology,Биология,Генетика,Наследование,single,"Гомозигота — это организм, у которого...",Гомозигота имеет одинаковые аллели гена.,A) Разные аллели одного гена|B) Одинаковые аллели одного гена|C) Нечетное число хромосом|D) Только доминантные признаки,B
biology,Биология,Человек,Дыхание,single,Газообмен в легких происходит в...,Основной газообмен идет в альвеолах.,A) Бронхах|B) Трахее|C) Альвеолах|D) Гортани,C
